REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
109,dm_unscreened,34.7,20.2,49.3,Proportion,"34.7 (20.2, 49.3)",46,,NA,Rajasthan,8,Dausa
109,dm_undiagnosed,36.8,23.8,49.8,Proportion,"36.8 (23.8, 49.8)",46,,NA,Rajasthan,8,Dausa
110,dm_unscreened,17.7,7.7,27.6,Proportion,"17.7 (7.7, 27.6)",93,,NA,Rajasthan,8,Jaipur
110,dm_undiagnosed,23.8,13.1,34.6,Proportion,"23.8 (13.1, 34.6)",93,,NA,Rajasthan,8,Jaipur
111,dm_unscreened,9.5,3.8,15.3,Proportion,"9.5 (3.8, 15.3)",127,,NA,Rajasthan,8,Sikar
111,dm_undiagnosed,12.6,6,19.2,Proportion,"12.6 (6, 19.2)",127,,NA,Rajasthan,8,Sikar
112,dm_unscreened,18.6,7.6,29.7,Proportion,"18.6 (7.6, 29.7)",58,,NA,Rajasthan,8,Nagaur
112,dm_undiagnosed,26.5,15.6,37.5,Proportion,"26.5 (15.6, 37.5)",58,,NA,Rajasthan,8,Nagaur
113,dm_unscreened,5.3,0,10.6,Proportion,"5.3 (0, 10.6)",113,,NA,Rajasthan,8,Jodhpur
113,dm_undiagnosed,7.4,0,14.9,Proportion,"7.4 (0, 14.9)",113,,NA,Rajasthan,8,Jodhpur
114,dm_unscreened,1.6,-1.6,4.9,Proportion,"1.6 (-1.6, 4.9)",60,,NA,Rajasthan,8,Jaisalmer
114,dm_undiagnosed,7.8,0.6,15,Proportion,"7.8 (0.6, 15)",60,,NA,Rajasthan,8,Jaisalmer
115,dm_unscreened,12.3,-4.1,28.7,Proportion,"12.3 (-4.1, 28.7)",33,,NA,Rajasthan,8,Barmer
115,dm_undiagnosed,21.7,4,39.3,Proportion,"21.7 (4, 39.3)",33,,NA,Rajasthan,8,Barmer
116,dm_unscreened,10.2,3.9,16.6,Proportion,"10.2 (3.9, 16.6)",58,,NA,Rajasthan,8,Jalor
116,dm_undiagnosed,17.9,5.7,30.1,Proportion,"17.9 (5.7, 30.1)",58,,NA,Rajasthan,8,Jalor
117,dm_unscreened,5.1,0.2,10,Proportion,"5.1 (0.2, 10)",42,,NA,Rajasthan,8,Sirohi
117,dm_undiagnosed,10.1,3.5,16.8,Proportion,"10.1 (3.5, 16.8)",42,,NA,Rajasthan,8,Sirohi
118,dm_unscreened,6.6,0.7,12.6,Proportion,"6.6 (0.7, 12.6)",113,,NA,Rajasthan,8,Pali
118,dm_undiagnosed,12.3,2.4,22.2,Proportion,"12.3 (2.4, 22.2)",113,,NA,Rajasthan,8,Pali
119,dm_unscreened,15,8.1,21.9,Proportion,"15 (8.1, 21.9)",82,,NA,Rajasthan,8,Ajmer
