REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
59,dm_undiagnosed,61.9,51.1,72.8,Proportion,"61.9 (51.1, 72.8)",154,,NA,Uttarakhand,5,Tehri Garhwal
60,dm_unscreened,25.6,16,35.2,Proportion,"25.6 (16, 35.2)",218,,NA,Uttarakhand,5,Dehradun
60,dm_undiagnosed,54.9,45.2,64.7,Proportion,"54.9 (45.2, 64.7)",218,,NA,Uttarakhand,5,Dehradun
61,dm_unscreened,26.9,14,39.7,Proportion,"26.9 (14, 39.7)",154,,NA,Uttarakhand,5,Garhwal
61,dm_undiagnosed,41.5,25.7,57.3,Proportion,"41.5 (25.7, 57.3)",154,,NA,Uttarakhand,5,Garhwal
62,dm_unscreened,46.8,29.8,63.9,Proportion,"46.8 (29.8, 63.9)",124,,NA,Uttarakhand,5,Pithoragarh
62,dm_undiagnosed,67.1,52.5,81.7,Proportion,"67.1 (52.5, 81.7)",124,,NA,Uttarakhand,5,Pithoragarh
63,dm_unscreened,47.2,33.8,60.7,Proportion,"47.2 (33.8, 60.7)",148,,NA,Uttarakhand,5,Bageshwar
63,dm_undiagnosed,66.8,54.2,79.4,Proportion,"66.8 (54.2, 79.4)",148,,NA,Uttarakhand,5,Bageshwar
64,dm_unscreened,36.2,25.2,47.1,Proportion,"36.2 (25.2, 47.1)",159,,NA,Uttarakhand,5,Almora
64,dm_undiagnosed,58.9,48.5,69.4,Proportion,"58.9 (48.5, 69.4)",159,,NA,Uttarakhand,5,Almora
65,dm_unscreened,45.5,30.6,60.3,Proportion,"45.5 (30.6, 60.3)",188,,NA,Uttarakhand,5,Champawat
65,dm_undiagnosed,54.5,40.2,68.9,Proportion,"54.5 (40.2, 68.9)",188,,NA,Uttarakhand,5,Champawat
66,dm_unscreened,19.6,11.9,27.4,Proportion,"19.6 (11.9, 27.4)",228,,NA,Uttarakhand,5,Nainital
66,dm_undiagnosed,41.5,31.9,51,Proportion,"41.5 (31.9, 51)",228,,NA,Uttarakhand,5,Nainital
67,dm_unscreened,36.9,28.8,45,Proportion,"36.9 (28.8, 45)",232,,NA,Uttarakhand,5,Udham Singh Nagar
67,dm_undiagnosed,62,53.9,70.1,Proportion,"62 (53.9, 70.1)",232,,NA,Uttarakhand,5,Udham Singh Nagar
